CABANG;PROPINSI;NO ORDER;TANGGAL;SUMBER;SERIES;HARGA JUAL;DISKON;JENIS BAYAR
FKH TANJUNG;KALIMANTANSELATAN;BTDTJG220500011;11-May-22;OFFLINE;GENIO;19.313.000;0;TUNAI
FKH MAKALE;SULAWESISELATAN;BTDMKL220500027;11-May-22;OFFLINE;REVO;18.140.000;140.000;TUNAI
FKH PERBAUNGAN;SUMATERAUTARA;BTDPBG220500002;11-May-22;OFFLINE;VARIO 125;22.810.000;500.000;TUNAI
FKH SANGATTA UTARA;KALIMANTANTIMUR;BTDSGT220500014;11-May-22;OFFLINE;VARIO 125;23.910.000;0;TUNAI
FKH GORONTALO;GORONTALO;BTDGTO220500019;11-May-22;OFFLINE;REVO;18.800.000;0;TUNAI
FKH MANDONGA KORUMBA;SULAWESITENGGARA;BTDKDA220500009;11-May-22;OFFLINE;CBR 150R;38.470.000;100.000;TUNAI
FKH SURABAYA;JAWATIMUR;BTDSBY220400113;11-May-22;OFFLINE;VARIO 160;27.436.000;600.000;TUNAI
FKH MAKASSAR;SULAWESISELATAN;BTDMKS220500053;11-May-22;OFFLINE;VARIO 160;26.530.000;1.000.000;TUNAI
FKH MADIUN;JAWATIMUR;BTDMDN220500025;12-May-22;OFFLINE;VARIO 160;27.526.000;600.000;TUNAI
FKH PASANGKAYU;SULAWESIBARAT;BTDPKY220500007;11-May-22;OFFLINE;VARIO 160;26.220.000;0;TUNAI
FKH SANGATTA UTARA;KALIMANTANTIMUR;BTDSGT220500022;11-May-22;OFFLINE;VARIO 125;24.620.000;0;TUNAI
FKH NANGA PINOH;KALIMANTANBARAT;BTDNPH220500028;12-May-22;OFFLINE;REVO;17.180.000;500.000;TUNAI
FKH DARUSSALAM;ACEH;BTDDRS220500012;12-May-22;OFFLINE;SONIC 150R;24.480.000;2.000.000;TUNAI
FKH BANGLI;BALI;BTDBGL220500018;11-May-22;ONLINE;GENIO;19.150.000;50.000;TUNAI
FKH NEGARA;BALI;BTDNGR220500014;11-May-22;OFFLINE;VARIO 160;26.630.000;400.000;TUNAI
FKH TANGERANG;DKIJAKARTA;BTDTGR220500055;13-May-22;OFFLINE;VARIO 160;26.154.000;300.000;TUNAI
FKH SIMPANG BRAYAN;SUMATERAUTARA;BTDSPB220500005;12-May-22;OFFLINE;SUPRAX125;20.060.000;360.000;TUNAI
FKH BONE;SULAWESISELATAN;BTDBNE220500042;14-May-22;OFFLINE;BEAT;19.650.000;0;TUNAI
FKH TANJUNG;KALIMANTANSELATAN;BTDTJG220500017;12-May-22;OFFLINE;SCOOPY;21.005.000;0;TUNAI
FKH KENDARI;SULAWESITENGGARA;BTDKDI220500040;13-May-22;OFFLINE;REVO;19.130.000;0;TUNAI
FKH CIBEBER;JAWABARAT;BTDCBB220500006;13-May-22;OFFLINE;GENIO;18.700.000;500.000;TUNAI
FKH BONE;SULAWESISELATAN;BTDBNE220500011;12-May-22;OFFLINE;VARIO 160;26.530.000;0;TUNAI
FKH MALINAU;KALIMANTANUTARA;BTDMLU220500016;12-May-22;OFFLINE;REVO;17.330.000;0;TUNAI
FKH BONTANG;KALIMANTANTIMUR;BTDBTA220500026;12-May-22;OFFLINE;VARIO 160;31.570.000;0;TUNAI
FKH MAKALE;SULAWESISELATAN;BTDMKL220500030;12-May-22;ONLINE;BEAT;19.680.000;0;TUNAI
FKH PANGKAL PINANG;KEPULAUANBANGKABELIT;BTDPGK220500024;12-May-22;OFFLINE;BEAT;19.857.000;101.000;TUNAI
FKH NEGARA;BALI;BTDNGR220500015;12-May-22;OFFLINE;VARIO 125;23.230.000;0;TUNAI
FKH DENPASAR;BALI;BTDDPR220500045;12-May-22;OFFLINE;VARIO 160;26.580.000;300.000;TUNAI
FKH BONE;SULAWESISELATAN;BTDBNE220400186;12-May-22;OFFLINE;ADV 150;36.030.000;1.030.000;TUNAI
FKH MANNA;BENGKULU;BTDMNA220500007;12-May-22;ONLINE;REVO;15.450.000;500.000;TUNAI
FKH DENPASAR;BALI;BTDDPR220500047;12-May-22;OFFLINE;PCX160;32.400.000;500.000;TUNAI
FKH KOLAKA;SULAWESITENGGARA;BTDKLK220500011;12-May-22;OFFLINE;REVO;17.880.000;30.000;TUNAI
FKH SOE;NUSATENGGARATIMUR;BTDSOE220500019;12-May-22;OFFLINE;BEAT;20.114.000;4.000;TUNAI
FKH NUNUKAN;KALIMANTANUTARA;BTDNUK220500024;12-May-22;ONLINE;BEAT;20.220.000;0;TUNAI
